Group,Litter.Number,Sex,GD.of.DOB,PD.ears,PD.walk
Con7,85,1,20,4,11
Con7,85,1,20,4,12
Con7,1/2/95/2,1,19,5,9
Con7,1/2/95/2,1,19,5,10
Con7,5/5/3/83/3-3,1,19,5,10
Con7,5/5/3/83/3-3,1,19,5,9
Con7,5/4/2/95/2,1,19,NA,9
Con7,4/2/95/3-3,1,20,4,8
Con7,4/2/95/3-3,1,20,4,9
Con7,2/2/95/3-2,1,20,4,10
Con7,1/5/3/83/3-3/2,1,20,4,9
Con7,1/5/3/83/3-3/2,1,20,4,9
Con7,1/5/3/83/3-3/2,1,20,4,9
Con7,1/5/3/83/3-3/2,1,20,4,9
Con7,1/5/3/83/3-3/2,1,20,4,9
Con7,85,2,20,4,11
Con7,1/2/95/2,2,19,4,9
Con7,1/2/95/2,2,19,4,10
Con7,1/2/95/2,2,19,5,10
Con7,1/2/95/2,2,19,5,10
Con7,1/2/95/2,2,19,5,10
Con7,5/5/3/83/3-3,2,19,5,10
Con7,5/5/3/83/3-3,2,19,5,10
Con7,5/5/3/83/3-3,2,19,5,10
Con7,5/4/2/95/2,2,19,NA,10
Con7,5/4/2/95/2,2,19,NA,10
Con7,5/4/2/95/2,2,19,NA,10
Con7,4/2/95/3-3,2,20,4,7
Con7,4/2/95/3-3,2,20,4,9
Con7,4/2/95/3-3,2,20,4,8
Con7,4/2/95/3-3,2,20,4,9
Con7,2/2/95/3-2,2,20,4,10
Con7,2/2/95/3-2,2,20,4,10
Con7,2/2/95/3-2,2,20,4,11
Con7,1/5/3/83/3-3/2,2,20,4,9
Con7,1/5/3/83/3-3/2,2,20,4,9
Con7,1/5/3/83/3-3/2,2,20,4,9
Con7,1/5/3/83/3-3/2,2,20,4,9
Con8,3/83/3-3,1,20,3,7
Con8,3/83/3-3,1,20,3,7
Con8,3/83/3-3,1,20,3,7
Con8,3/83/3-3,1,20,3,8
Con8,3/83/3-3,1,20,4,9
Con8,2/95/3,1,20,4,9
Con8,2/95/3,1,20,3,8
Con8,2/95/3,1,20,3,8
Con8,2/95/3,1,20,3,8
Con8,3/5/2/2/95,1,20,4,8
Con8,3/5/2/2/95,1,20,4,8
Con8,3/5/2/2/95,1,20,4,8
Con8,3/5/2/2/95,1,20,4,8
Con8,5/4/3/83/3,1,19,4,10
Con8,5/4/3/83/3,1,19,4,9
Con8,5/4/3/83/3,1,19,4,9
Con8,5/4/3/83/3,1,19,4,10
Con8,5/4/3/83/3,1,19,4,9
Con8,1/6/2/2/95-2,1,20,3,9
Con8,1/6/2/2/95-2,1,20,4,9
Con8,3/5/3/83/3-3-2,1,20,4,10
Con8,3/5/3/83/3-3-2,1,20,4,9
Con8,3/5/3/83/3-3-2,1,20,4,10
Con8,3/5/3/83/3-3-2,1,20,4,10
Con8,2/2/95/2,1,19,5,9
Con8,2/2/95/2,1,19,4,11
Con8,3/6/2/2/95-3,1,20,3,9
Con8,3/6/2/2/95-3,1,20,3,9
Con8,3/6/2/2/95-3,1,20,3,8
Con8,3/6/2/2/95-3,1,20,3,8
Con8,3/6/2/2/95-3,1,20,3,8
Con8,3/83/3-3,2,20,3,8
Con8,3/83/3-3,2,20,3,7
Con8,3/83/3-3,2,20,3,8
Con8,2/95/3,2,20,3,9
Con8,2/95/3,2,20,3,8
Con8,2/95/3,2,20,4,9
Con8,2/95/3,2,20,3,8
Con8,3/5/2/2/95,2,20,4,9
Con8,3/5/2/2/95,2,20,4,7
Con8,3/5/2/2/95,2,20,3,9
Con8,3/5/2/2/95,2,20,4,9
Con8,5/4/3/83/3,2,19,4,9
Con8,5/4/3/83/3,2,19,4,10
Con8,5/4/3/83/3,2,19,4,9
Con8,1/6/2/2/95-2,2,20,3,9
Con8,1/6/2/2/95-2,2,20,3,8
Con8,1/6/2/2/95-2,2,20,4,9
Con8,1/6/2/2/95-2,2,20,4,10
Con8,3/5/3/83/3-3-2,2,20,4,9
Con8,3/5/3/83/3-3-2,2,20,4,9
Con8,3/5/3/83/3-3-2,2,20,4,10
Con8,3/5/3/83/3-3-2,2,20,4,9
Con8,2/2/95/2,2,19,4,8
Con8,2/2/95/2,2,19,4,11
Con8,3/6/2/2/95-3,2,20,3,8
Con8,3/6/2/2/95-3,2,20,3,9
Low7,84/2,1,20,3,8
Low7,84/2,1,20,3,10
Low7,84/2,1,20,3,7
Low7,107,1,20,4,11
Low7,107,1,20,4,11
Low7,107,1,20,4,12
Low7,107,1,20,4,11
Low7,107,1,20,4,11
Low7,107,1,20,4,11
Low7,107,1,20,4,12
Low7,85/2,1,20,4,11
Low7,85/2,1,20,4,12
Low7,98,1,20,3,10
Low7,98,1,20,4,11
Low7,98,1,20,4,11
Low7,98,1,20,4,10
Low7,98,1,20,3,11
Low7,102,1,20,4,11
Low7,02,1,20,4,11
Low7,101,1,20,3,12
Low7,101,1,20,3,9
Low7,101,1,20,4,8
Low7,101,1,20,4,11
Low7,111,1,20,4,10
Low7,84/2,2,20,3,12
Low7,84/2,2,20,3,8
Low7,84/2,2,20,3,10
Low7,84/2,2,20,3,8
Low7,84/2,2,20,3,11
Low7,107,2,20,4,10
Low7,85/2,2,20,4,11
Low7,85/2,2,20,4,12
Low7,85/2,2,20,4,11
Low7,85/2,2,20,4,12
Low7,98,2,20,2,10
Low7,98,2,20,4,11
Low7,98,2,20,4,10
Low7,98,2,20,3,11
Low7,102,2,20,4,11
Low7,102,2,20,3,11
Low7,102,2,20,3,11
Low7,102,2,20,4,10
Low7,102,2,20,3,11
Low7,101,2,20,3,12
Low7,101,2,20,3,11
Low7,101,2,20,3,10
Low7,101,2,20,4,11
Low7,101,2,20,4,11
Low7,111,2,20,4,10
Low7,111,2,20,4,10
Mod7,59,1,19,4,12
Mod7,59,1,19,4,11
Mod7,59,1,19,4,12
Mod7,103,1,19,4,10
Mod7,103,1,19,4,9
Mod7,103,1,19,3,10
Mod7,1/82/3-2,1,19,4,10
Mod7,1/82/3-2,1,19,4,8
Mod7,3/83/3-2,1,19,4,9
Mod7,3/83/3-2,1,19,4,9
Mod7,3/83/3-2,1,19,4,8
Mod7,3/83/3-2,1,19,4,8
Mod7,3/83/3-2,1,19,4,8
Mod7,3/83/3-2,1,19,4,9
Mod7,2/95/2-2,1,20,4,8
Mod7,2/95/2-2,1,20,4,8
Mod7,2/95/2-2,1,20,4,8
Mod7,2/95/2-2,1,20,4,9
Mod7,3/82/3-2,1,20,3,8
Mod7,3/82/3-2,1,20,4,8
Mod7,4/2/95/2,1,19,4,10
Mod7,4/2/95/2,1,19,4,11
Mod7,4/2/95/2,1,19,4,11
Mod7,4/2/95/2,1,19,4,9
Mod7,5/3/83/3-2,1,19,4,10
Mod7,5/3/83/3-2,1,19,4,10
Mod7,5/3/83/3-2,1,19,4,10
Mod7,8/110/3-2,1,20,3,8
Mod7,8/110/3-2,1,20,3,8
Mod7,8/110/3-2,1,20,3,8
Mod7,8/110/3-2,1,20,4,8
Mod7,106,1,20,3,12
Mod7,94/2,1,19,NA,9
Mod7,62,1,19,5,13
Mod7,62,1,19,5,12
Mod7,62,1,19,5,13
Mod7,59,2,19,4,12
Mod7,59,2,19,4,10
Mod7,103,2,19,3,9
Mod7,103,2,19,3,9
Mod7,103,2,19,3,9
Mod7,103,2,19,3,9
Mod7,103,2,19,3,10
Mod7,103,2,19,4,9
Mod7,1/82/3-2,2,19,4,10
Mod7,1/82/3-2,2,19,4,10
Mod7,1/82/3-2,2,19,5,10
Mod7,1/82/3-2,2,19,4,10
Mod7,3/83/3-2,2,19,4,8
Mod7,3/83/3-2,2,19,4,8
Mod7,2/95/2-2,2,20,4,9
Mod7,2/95/2-2,2,20,4,8
Mod7,2/95/2-2,2,20,4,8
Mod7,3/82/3-2,2,20,4,8
Mod7,3/82/3-2,2,20,3,8
Mod7,3/82/3-2,2,20,3,8
Mod7,4/2/95/2,2,19,4,11
Mod7,4/2/95/2,2,19,4,9
Mod7,4/2/95/2,2,19,4,10
Mod7,5/3/83/3-2,2,19,3,8
Mod7,5/3/83/3-2,2,19,3,10
Mod7,8/110/3-2,2,20,3,9
Mod7,8/110/3-2,2,20,3,8
Mod7,8/110/3-2,2,20,4,9
Mod7,8/110/3-2,2,20,4,8
Mod7,8/110/3-2,2,20,4,8
Mod7,106,2,20,3,10
Mod7,94/2,2,19,NA,13
Mod7,94/2,2,19,NA,9
Mod7,62,2,19,5,12
Low8,53,1,20,4,12
Low8,53,1,20,3,12
Low8,53,1,20,4,12
Low8,53,1,20,3,12
Low8,53,1,20,4,11
Low8,79,1,19,4,11
Low8,79,1,19,4,14
Low8,79,1,19,4,10
Low8,79,1,19,4,9
Low8,79,1,19,4,13
Low8,100,1,20,3,9
Low8,100,1,20,3,10
Low8,4/84,1,20,3,9
Low8,4/84,1,20,3,10
Low8,4/84,1,20,4,10
Low8,108,1,20,3,7
Low8,108,1,20,3,8
Low8,108,1,20,3,8
Low8,108,1,20,3,8
Low8,99,1,20,NA,10
Low8,99,1,20,NA,9
Low8,99,1,20,NA,9
Low8,99,1,20,NA,9
Low8,110,1,20,NA,8
Low8,53,2,20,3,13
Low8,53,2,20,4,12
Low8,79,2,19,4,11
Low8,79,2,19,4,14
Low8,100,2,20,4,11
Low8,100,2,20,3,11
Low8,100,2,20,3,11
Low8,100,2,20,3,10
Low8,100,2,20,4,11
Low8,4/84,2,20,3,10
Low8,108,2,20,3,8
Low8,108,2,20,3,8
Low8,108,2,20,3,10
Low8,99,2,20,NA,9
Low8,110,2,20,NA,9
Low8,110,2,20,NA,8
Low8,110,2,20,NA,9
Low8,110,2,20,NA,9
Low8,110,2,20,NA,9
Mod8,97,1,20,3,9
Mod8,97,1,20,3,8
Mod8,97,1,20,3,9
Mod8,97,1,20,3,9
Mod8,97,1,20,3,9
Mod8,97,1,20,3,9
Mod8,5/93,1,20,3,10
Mod8,5/93,1,20,3,9
Mod8,5/93,1,20,3,9
Mod8,5/93/2,1,19,4,9
Mod8,7/82/3-2,1,20,3,8
Mod8,7/82/3-2,1,20,4,8
Mod8,7/82/3-2,1,20,3,8
Mod8,7/110/3-2,1,19,3,10
Mod8,7/110/3-2,1,19,3,10
Mod8,7/110/3-2,1,19,4,10
Mod8,7/110/3-2,1,19,3,10
Mod8,7/110/3-2,1,19,3,10
Mod8,7/110/3-2,1,19,3,10
Mod8,2/95/2,1,20,4,9
Mod8,2/95/2,1,20,4,9
Mod8,2/95/2,1,20,4,9
Mod8,82/4,1,20,4,10
Mod8,82/4,1,20,3,9
Mod8,82/4,1,20,4,9
Mod8,97,2,20,3,9
Mod8,97,2,20,3,8
Mod8,5/93,2,20,4,9
Mod8,5/93,2,20,3,9
Mod8,5/93,2,20,4,9
Mod8,5/93,2,20,3,9
Mod8,5/93,2,20,3,9
Mod8,5/93,2,20,3,9
Mod8,5/93/2,2,19,4,9
Mod8,5/93/2,2,19,5,9
Mod8,5/93/2,2,19,4,9
Mod8,5/93/2,2,19,5,9
Mod8,5/93/2,2,19,4,9
Mod8,5/93/2,2,19,4,9
Mod8,5/93/2,2,19,5,9
Mod8,7/82/3-2,2,20,3,8
Mod8,7/82/3-2,2,20,3,8
Mod8,7/82/3-2,2,20,3,8
Mod8,7/82/3-2,2,20,3,8
Mod8,7/110/3-2,2,19,4,10
Mod8,7/110/3-2,2,19,4,9
Mod8,2/95/2,2,20,4,9
Mod8,2/95/2,2,20,4,8
Mod8,2/95/2,2,20,4,9
Mod8,2/95/2,2,20,4,9
Mod8,2/95/2,2,20,3,8
Mod8,2/95/2,2,20,3,9
Mod8,82/4,2,20,4,9
Mod8,82/4,2,20,3,9
Mod8,82/4,2,20,3,9
